geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
EDSM 19-50-CS05 2019-07-10	38.2478	38.2478	-121.67534	-121.67534
EDSM 19-50-PP01 2019-07-10	38.07273	38.07273	-121.57016	-121.57016
EDSM 19-50-SBM01 2019-07-10	38.09973	38.09973	-122.02774	-122.02774
EDSM 19-50-SJT01 2019-07-10	38.0979	38.0979	-121.66382	-121.66382
EDSM 19-50-CS02 2019-07-10	38.23264	38.23264	-121.67692	-121.67692
EDSM 19-50-CQS01 2019-07-10	38.06674	38.06674	-122.2484	-122.2484
EDSM 19-50-LNR01 2019-07-11	38.1618	38.1618	-122.29572	-122.29572
EDSM 19-50-SPE02 2019-07-11	38.06051	38.06051	-122.32528	-122.32528
EDSM 19-50-SPE01 2019-07-11	38.04675	38.04675	-122.301	-122.301
EDSM 19-50-CF01 2019-07-11	38.04808	38.04808	-121.90224	-121.90224
EDSM 19-50-SBM02 2019-07-11	38.09721	38.09721	-122.03303	-122.03303
EDSM 19-50-CS07 2019-07-11	38.27701	38.27701	-121.70947	-121.70947
EDSM 19-50-CS08 2019-07-11	38.25746	38.25746	-121.7375	-121.7375
EDSM 19-50-SBM03 2019-07-11	38.07846	38.07846	-122.0344	-122.0344
EDSM 19-50-SPE03 2019-07-11	38.04099	38.04099	-122.29713	-122.29713
EDSM 19-50-CS06 2019-07-11	38.4243	38.4243	-121.6131	-121.6131
EDSM 19-50-CS09 2019-07-11	38.2706	38.2706	-121.66703	-121.66703
EDSM 19-51-USSC01 2019-07-15	38.56151	38.56151	-121.55279	-121.55279
EDSM 19-51-SPE02 2019-07-15	38.05229	38.05229	-122.32011	-122.32011
EDSM 19-51-HB01 2019-07-15	38.04935	38.04935	-121.95854	-121.95854
EDSM 19-51-SPE03 2019-07-15	38.03803	38.03803	-122.30759	-122.30759
EDSM 19-51-LSSC02 2019-07-15	38.46559	38.46559	-121.58684	-121.58684
EDSM 19-51-CF01 2019-07-15	38.03131	38.03131	-121.85389	-121.85389
EDSM 19-51-LSSC01 2019-07-15	38.18241	38.18241	-121.6635	-121.6635
EDSM 19-51-SBW01 2019-07-15	38.07468	38.07468	-122.10307	-122.10307
EDSM 19-51-SPE01 2019-07-15	38.0358	38.0358	-122.31275	-122.31275
EDSM 19-51-SBM01 2019-07-15	38.09389	38.09389	-122.05507	-122.05507
EDSM 19-51-CQS01 2019-07-15	38.0343	38.0343	-122.15387	-122.15387
EDSM 19-51-CQS02 2019-07-15	38.06013	38.06013	-122.25407	-122.25407
EDSM 19-51-LSSC04 2019-07-16	38.20294	38.20294	-121.6566	-121.6566
EDSM 19-51-RV01 2019-07-16	38.13547	38.13547	-121.68916	-121.68916
EDSM 19-51-SBW02 2019-07-16	38.06258	38.06258	-122.11157	-122.11157
EDSM 19-51-RV02 2019-07-16	38.11104	38.11104	-121.7015	-121.7015
EDSM 19-51-HB02 2019-07-16	38.06009	38.06009	-121.96915	-121.96915
EDSM 19-51-LSR01 2019-07-16	38.07527	38.07527	-121.76308	-121.76308
EDSM 19-51-CF02 2019-07-16	38.03095	38.03095	-121.85713	-121.85713
EDSM 19-51-CS01 2019-07-17	38.25882	38.25882	-121.74414	-121.74414
EDSM 19-51-RV03 2019-07-17	38.11814	38.11814	-121.70587	-121.70587
EDSM 19-51-SM01 2019-07-17	38.17925	38.17925	-122.05478	-122.05478
EDSM 19-51-RV04 2019-07-17	38.09674	38.09674	-121.72074	-121.72074
EDSM 19-51-CS02 2019-07-17	38.25319	38.25319	-121.72534	-121.72534
EDSM 19-51-CS03 2019-07-17	38.28875	38.28875	-121.7228	-121.7228
EDSM 19-51-LSR02 2019-07-17	38.06282	38.06282	-121.80734	-121.80734
EDSM 19-51-SM02 2019-07-17	38.15983	38.15983	-122.04936	-122.04936
EDSM 19-51-CS04 2019-07-17	38.25564	38.25564	-121.67131	-121.67131
EDSM 19-51-LSR03 2019-07-17	38.07562	38.07562	-121.77027	-121.77027
EDSM 19-51-SM03 2019-07-17	38.171	38.171	-121.96044	-121.96044
EDSM 19-51-LSJ01 2019-07-18	38.0294	38.0294	-121.73875	-121.73875
EDSM 19-51-GB01 2019-07-18	38.1086	38.1086	-122.05434	-122.05434
EDSM 19-51-CS07 2019-07-18	38.28656	38.28656	-121.69252	-121.69252
EDSM 19-51-LSJ02 2019-07-18	38.02365	38.02365	-121.72711	-121.72711
EDSM 19-51-SJT01 2019-07-18	38.07602	38.07602	-121.68205	-121.68205
EDSM 19-51-SM04 2019-07-18	38.17064	38.17064	-122.03118	-122.03118
EDSM 19-51-CS05 2019-07-18	38.26191	38.26191	-121.69268	-121.69268
EDSM 19-51-SM05 2019-07-18	38.14087	38.14087	-122.06176	-122.06176
EDSM 19-51-CS06 2019-07-18	38.24916	38.24916	-121.68766	-121.68766
EDSM 19-51-LSSC03 2019-07-19	38.32359	38.32359	-121.64192	-121.64192
EDSM 19-51-CS08 2019-07-18	38.2838	38.2838	-121.66616	-121.66616
EDSM 19-51-USSC02 2019-07-19	38.49702	38.49702	-121.58431	-121.58431
EDSM 19-52-CS01 2019-07-22	38.31906	38.31906	-121.69275	-121.69275
EDSM 19-52-LSJ01 2019-07-22	38.03611	38.03611	-121.70594	-121.70594
EDSM 19-52-CS03 2019-07-22	38.26395	38.26395	-121.69071	-121.69071
EDSM 19-52-CF01 2019-07-22	38.04704	38.04704	-121.91214	-121.91214
EDSM 19-52-CS02 2019-07-22	38.25192	38.25192	-121.68709	-121.68709
EDSM 19-52-SM03 2019-07-22	38.18288	38.18288	-121.92625	-121.92625
EDSM 19-52-SBM02 2019-07-22	38.07249	38.07249	-122.00509	-122.00509
EDSM 19-52-SM01 2019-07-22	38.16898	38.16898	-122.02441	-122.02441
EDSM 19-52-SM02 2019-07-22	38.14007	38.14007	-122.06048	-122.06048
EDSM 19-52-SJT01 2019-07-23	38.08312	38.08312	-121.67867	-121.67867
EDSM 19-52-CS05 2019-07-23	38.25982	38.25982	-121.74785	-121.74785
EDSM 19-52-PP02 2019-07-23	38.09921	38.09921	-121.59352	-121.59352
EDSM 19-52-CS06 2019-07-23	38.23984	38.23984	-121.68547	-121.68547
EDSM 19-52-PP01 2019-07-23	38.05679	38.05679	-121.54331	-121.54331
EDSM 19-52-SM05 2019-07-23	38.1799	38.1799	-121.99855	-121.99855
EDSM 19-52-SM06 2019-07-23	38.1426	38.1426	-122.06056	-122.06056
EDSM 19-52-CS04 2019-07-23	38.2731	38.2731	-121.66555	-121.66555
EDSM 19-52-PP03 2019-07-23	38.05649	38.05649	-121.54998	-121.54998
EDSM 19-52-SM04 2019-07-23	38.12486	38.12486	-122.0583	-122.0583
EDSM 19-52-LSR01 2019-07-24	38.07001	38.07001	-121.83855	-121.83855
EDSM 19-52-SBW01 2019-07-24	38.05434	38.05434	-122.06775	-122.06775
EDSM 19-52-USSC02 2019-07-24	38.49172	38.49172	-121.5846	-121.5846
EDSM 19-52-LSR02 2019-07-24	38.06571	38.06571	-121.78012	-121.78012
EDSM 19-52-RV01 2019-07-24	38.10341	38.10341	-121.68492	-121.68492
EDSM 19-52-RV02 2019-07-24	38.13584	38.13584	-121.69057	-121.69057
EDSM 19-52-LSSC03 2019-07-24	38.38347	38.38347	-121.62565	-121.62565
EDSM 19-52-LSSC04 2019-07-24	38.23332	38.23332	-121.67437	-121.67437
EDSM 19-52-SBW02 2019-07-24	38.03854	38.03854	-122.14063	-122.14063
EDSM 19-52-USSC01 2019-07-25	38.56011	38.56011	-121.56604	-121.56604
EDSM 19-52-LSSC02 2019-07-25	38.45739	38.45739	-121.59083	-121.59083
EDSM 19-52-LSR05 2019-07-25	38.03186	38.03186	-121.78475	-121.78475
EDSM 19-52-LSR04 2019-07-25	38.06216	38.06216	-121.80951	-121.80951
EDSM 19-52-LSR03 2019-07-25	38.07336	38.07336	-121.76114	-121.76114
EDSM 19-52-SPE01 2019-07-25	38.0454	38.0454	-122.3101	-122.3101
EDSM 19-52-SPE02 2019-07-25	38.03932	38.03932	-122.30968	-122.30968
EDSM 19-52-SBM01 2019-07-24	38.09855	38.09855	-122.04927	-122.04927
EDSM 19-52-CQS01 2019-07-25	38.06634	38.06634	-122.24685	-122.24685
EDSM 19-52-LSSC01 2019-07-25	38.22733	38.22733	-121.67412	-121.67412
EDSM 19-52-SBW03 2019-07-24	38.06083	38.06083	-122.10684	-122.10684
EDSM 19-52-LNR01 2019-07-25	38.14548	38.14548	-122.28599	-122.28599
EDSM 19-53-LSR01 2019-07-29	38.05701	38.05701	-121.79713	-121.79713
EDSM 19-53-SPE02 2019-07-29	38.03591	38.03591	-122.30488	-122.30488
EDSM 19-53-USSC01 2019-07-29	38.48295	38.48295	-121.58403	-121.58403
EDSM 19-53-LSSC02 2019-07-29	38.41468	38.41468	-121.61077	-121.61077
EDSM 19-53-LSR02 2019-07-29	38.06688	38.06688	-121.7726	-121.7726
EDSM 19-53-SPE03 2019-07-29	38.056	38.056	-122.28358	-122.28358
EDSM 19-53-LSSC01 2019-07-29	38.2885	38.2885	-121.65786	-121.65786
EDSM 19-53-RV04 2019-07-29	38.10081	38.10081	-121.72378	-121.72378
EDSM 19-53-SBW01 2019-07-30	38.06441	38.06441	-122.11137	-122.11137
EDSM 19-53-LSSC05 2019-07-30	38.43901	38.43901	-121.59914	-121.59914
EDSM 19-53-SBM03 2019-07-30	38.09138	38.09138	-122.0084	-122.0084
EDSM 19-53-CF02 2019-07-30	38.04411	38.04411	-121.89805	-121.89805
EDSM 19-53-CF03 2019-07-30	38.05393	38.05393	-121.85516	-121.85516
EDSM 19-53-LSSC04 2019-07-30	38.25215	38.25215	-121.6683	-121.6683
EDSM 19-53-LSSC03 2019-07-30	38.18228	38.18228	-121.66337	-121.66337
EDSM 19-53-SPE01 2019-07-29	38.05503	38.05503	-122.26046	-122.26046
EDSM 19-53-CQS01 2019-07-29	38.03979	38.03979	-122.15869	-122.15869
EDSM 19-53-CQS02 2019-07-29	38.03568	38.03568	-122.17189	-122.17189
EDSM 19-53-LSJ01 2019-07-31	38.02533	38.02533	-121.79115	-121.79115
EDSM 19-53-SM03 2019-07-31	38.17545	38.17545	-121.95278	-121.95278
EDSM 19-53-LSJ02 2019-07-31	38.03673	38.03673	-121.71077	-121.71077
EDSM 19-53-SM01 2019-07-31	38.17943	38.17943	-122.00201	-122.00201
EDSM 19-53-GB01 2019-07-31	38.10887	38.10887	-122.05837	-122.05837
EDSM 19-53-CS01 2019-07-31	38.30469	38.30469	-121.72964	-121.72964
EDSM 19-53-SJT01 2019-07-31	38.08792	38.08792	-121.68567	-121.68567
EDSM 19-53-CS03 2019-07-31	38.25669	38.25669	-121.73398	-121.73398
EDSM 19-53-CS02 2019-07-31	38.24681	38.24681	-121.70104	-121.70104
EDSM 20-01-CS06 2019-08-01	38.27372	38.27372	-121.69415	-121.69415
EDSM 20-01-SM04 2019-08-01	38.15047	38.15047	-122.05479	-122.05479
EDSM 20-01-CF01 2019-08-01	38.02372	38.02372	-121.8222	-121.8222
EDSM 20-01-SBM01 2019-08-01	38.04983	38.04983	-121.97161	-121.97161
EDSM 20-01-CS05 2019-08-01	38.28278	38.28278	-121.71395	-121.71395
EDSM 20-01-SBM02 2019-08-01	38.06363	38.06363	-122.02491	-122.02491
EDSM 20-01-SM05 2019-08-01	38.19513	38.19513	-122.04306	-122.04306
EDSM 20-01-SM06 2019-08-01	38.11262	38.11262	-121.89081	-121.89081
EDSM 20-01-CS08 2019-08-01	38.29346	38.29346	-121.66719	-121.66719
EDSM 20-01-CS04 2019-08-01	38.25832	38.25832	-121.67122	-121.67122
EDSM 20-01-CS07 2019-08-01	38.26132	38.26132	-121.76904	-121.76904
EDSM 20-01-RV02 2019-08-02	38.09489	38.09489	-121.72522	-121.72522
EDSM 20-01-RV03 2019-08-02	38.1414	38.1414	-121.68865	-121.68865
EDSM 20-01-RV01 2019-08-02	38.16644	38.16644	-121.67483	-121.67483
EDSM 20-02-CS01 2019-08-05	38.2367	38.2367	-121.68299	-121.68299
EDSM 20-02-LSJ01 2019-08-05	38.04567	38.04567	-121.69361	-121.69361
EDSM 20-02-SM05 2019-08-05	38.12721	38.12721	-121.91525	-121.91525
EDSM 20-02-SJT01 2019-08-05	38.07433	38.07433	-121.6767	-121.6767
EDSM 20-02-SM06 2019-08-05	38.17758	38.17758	-122.01046	-122.01046
EDSM 20-02-PP01 2019-08-05	38.10055	38.10055	-121.58582	-121.58582
EDSM 20-02-CS04 2019-08-05	38.2721	38.2721	-121.70387	-121.70387
EDSM 20-02-CS05 2019-08-05	38.3141	38.3141	-121.65527	-121.65527
EDSM 20-02-CS02 2019-08-05	38.27863	38.27863	-121.66464	-121.66464
EDSM 20-02-CS03 2019-08-05	38.24791	38.24791	-121.70491	-121.70491
EDSM 20-02-SM04 2019-08-05	38.11544	38.11544	-122.0601	-122.0601
EDSM 20-02-CS06 2019-08-06	38.29749	38.29749	-121.72939	-121.72939
EDSM 20-02-SBW01 2019-08-06	38.05158	38.05158	-122.08649	-122.08649
EDSM 20-02-SM01 2019-08-06	38.17168	38.17168	-121.94752	-121.94752
EDSM 20-02-CS12 2019-08-06	38.27009	38.27009	-121.70408	-121.70408
EDSM 20-02-CS10 2019-08-06	38.28749	38.28749	-121.71846	-121.71846
EDSM 20-02-CS08 2019-08-06	38.26211	38.26211	-121.69088	-121.69088
EDSM 20-02-SM02 2019-08-06	38.19042	38.19042	-122.04032	-122.04032
EDSM 20-02-CS07 2019-08-06	38.25467	38.25467	-121.68534	-121.68534
EDSM 20-02-HB01 2019-08-06	38.05543	38.05543	-121.9714	-121.9714
EDSM 20-02-SM03 2019-08-06	38.13619	38.13619	-122.05483	-122.05483
EDSM 20-02-CF01 2019-08-06	38.05208	38.05208	-121.86963	-121.86963
EDSM 20-02-CS14 2019-08-06	38.29971	38.29971	-121.69268	-121.69268
EDSM 20-02-CS09 2019-08-06	38.28105	38.28105	-121.68164	-121.68164
EDSM 20-02-CS11 2019-08-06	38.26117	38.26117	-121.68491	-121.68491
EDSM 20-02-CS13 2019-08-06	38.24261	38.24261	-121.67442	-121.67442
EDSM 20-02-LSSC01 2019-08-07	38.18208	38.18208	-121.6639	-121.6639
EDSM 20-02-RV01 2019-08-07	38.16114	38.16114	-121.68011	-121.68011
EDSM 20-02-SBW02 2019-08-07	38.06503	38.06503	-122.09185	-122.09185
EDSM 20-02-USSC02 2019-08-07	38.52124	38.52124	-121.58411	-121.58411
EDSM 20-02-RV02 2019-08-07	38.14506	38.14506	-121.6909	-121.6909
EDSM 20-02-USSC01 2019-08-07	38.5618	38.5618	-121.54715	-121.54715
EDSM 20-02-CF02 2019-08-07	38.04806	38.04806	-121.92322	-121.92322
EDSM 20-02-RV03 2019-08-07	38.08279	38.08279	-121.71933	-121.71933
EDSM 20-02-SBM01 2019-08-07	38.05947	38.05947	-122.02858	-122.02858
EDSM 20-02-LSR01 2019-08-08	38.05891	38.05891	-121.80299	-121.80299
EDSM 20-02-USSC03 2019-08-08	38.55993	38.55993	-121.56706	-121.56706
EDSM 20-02-LSR02 2019-08-08	38.07841	38.07841	-121.75956	-121.75956
EDSM 20-02-RV04 2019-08-08	38.15479	38.15479	-121.68675	-121.68675
EDSM 20-02-LSSC02 2019-08-08	38.33358	38.33358	-121.64718	-121.64718
EDSM 20-02-LSSC03 2019-08-08	38.19412	38.19412	-121.65607	-121.65607
EDSM 20-02-SPE01 2019-08-08	38.07738	38.07738	-122.33238	-122.33238
EDSM 20-02-SPE02 2019-08-08	38.06342	38.06342	-122.2684	-122.2684
EDSM 20-02-SPE03 2019-08-08	38.03883	38.03883	-122.31717	-122.31717
EDSM 20-02-CF03 2019-08-07	38.03071	38.03071	-121.85872	-121.85872
EDSM 20-02-CQS01 2019-08-07	38.06265	38.06265	-122.22953	-122.22953
EDSM 20-03-LSR02 2019-08-12	38.06596	38.06596	-121.83132	-121.83132
EDSM 20-03-SPE02 2019-08-12	38.0506	38.0506	-122.32679	-122.32679
EDSM 20-03-LSR01 2019-08-12	38.06897	38.06897	-121.77791	-121.77791
EDSM 20-03-SPE01 2019-08-12	38.07622	38.07622	-122.32807	-122.32807
EDSM 20-03-CQS02 2019-08-12	38.05403	38.05403	-122.25862	-122.25862
EDSM 20-03-SPE03 2019-08-12	38.067	38.067	-122.26588	-122.26588
EDSM 20-03-RV01 2019-08-12	38.08245	38.08245	-121.72567	-121.72567
EDSM 20-03-CS01 2019-08-12	38.38518	38.38518	-121.62838	-121.62838
EDSM 20-03-CS03 2019-08-12	38.29577	38.29577	-121.69277	-121.69277
EDSM 20-03-CS02 2019-08-12	38.25911	38.25911	-121.69436	-121.69436
EDSM 20-03-CQS01 2019-08-12	38.03699	38.03699	-122.1449	-122.1449
EDSM 20-03-LSR03 2019-08-13	38.06362	38.06362	-121.79002	-121.79002
EDSM 20-03-SBW02 2019-08-13	38.06833	38.06833	-122.08175	-122.08175
EDSM 20-03-CS04 2019-08-13	38.28907	38.28907	-121.66618	-121.66618
EDSM 20-03-RV02 2019-08-13	38.09553	38.09553	-121.73543	-121.73543
EDSM 20-03-RV03 2019-08-13	38.12585	38.12585	-121.69875	-121.69875
EDSM 20-03-CQS03 2019-08-12	38.0265	38.0265	-122.15595	-122.15595
EDSM 20-03-CS06 2019-08-13	38.27039	38.27039	-121.69363	-121.69363
EDSM 20-03-SM02 2019-08-14	38.18139	38.18139	-122.05117	-122.05117
EDSM 20-03-HB01 2019-08-13	38.05756	38.05756	-121.95056	-121.95056
EDSM 20-03-CS07 2019-08-13	38.28678	38.28678	-121.71831	-121.71831
EDSM 20-03-CS05 2019-08-13	38.31558	38.31558	-121.655	-121.655
EDSM 20-03-CF01 2019-08-14	38.05454	38.05454	-121.86681	-121.86681
EDSM 20-03-USSC01 2019-08-14	38.5011	38.5011	-121.5847	-121.5847
EDSM 20-03-CF02 2019-08-13	38.05762	38.05762	-121.8455	-121.8455
EDSM 20-03-SM03 2019-08-14	38.17057	38.17057	-122.02113	-122.02113
EDSM 20-03-SBM01 2019-08-14	38.066	38.066	-121.97278	-121.97278
EDSM 20-03-LSSC05 2019-08-14	38.43414	38.43414	-121.60136	-121.60136
EDSM 20-03-SBW01 2019-08-14	38.08333	38.08333	-122.05953	-122.05953
EDSM 20-03-SM01 2019-08-14	38.18036	38.18036	-121.92072	-121.92072
EDSM 20-03-LSSC04 2019-08-14	38.23318	38.23318	-121.67412	-121.67412
EDSM 20-03-LSJ01 2019-08-16	38.02668	38.02668	-121.75618	-121.75618
EDSM 20-03-LSSC02 2019-08-16	38.41224	38.41224	-121.61212	-121.61212
EDSM 20-03-SM05 2019-08-16	38.15082	38.15082	-121.9177	-121.9177
EDSM 20-03-SJT01 2019-08-16	38.0824	38.0824	-121.67798	-121.67798
EDSM 20-03-LSSC03 2019-08-16	38.24877	38.24877	-121.66996	-121.66996
EDSM 20-03-SM04 2019-08-16	38.12413	38.12413	-122.05652	-122.05652
EDSM 20-03-PP01 2019-08-16	38.05943	38.05943	-121.54705	-121.54705
EDSM 20-03-LSSC01 2019-08-16	38.21477	38.21477	-121.66986	-121.66986
EDSM 20-03-SM06 2019-08-16	38.13195	38.13195	-122.08215	-122.08215
EDSM 20-04-LSR02 2019-08-19	38.06243	38.06243	-121.80828	-121.80828
EDSM 20-04-LSSC02 2019-08-19	38.4134	38.4134	-121.61082	-121.61082
EDSM 20-04-SM01 2019-08-19	38.17399	38.17399	-121.94759	-121.94759
EDSM 20-04-LSSC03 2019-08-19	38.26061	38.26061	-121.66559	-121.66559
EDSM 20-04-SM02 2019-08-19	38.14674	38.14674	-122.05794	-122.05794
EDSM 20-04-SM03 2019-08-19	38.16149	38.16149	-122.0472	-122.0472
EDSM 20-04-RV03 2019-08-19	38.12372	38.12372	-121.69143	-121.69143
EDSM 20-04-LSSC01 2019-08-19	38.23067	38.23067	-121.67308	-121.67308
EDSM 20-04-RV04 2019-08-19	38.1118	38.1118	-121.70316	-121.70316
EDSM 20-04-LSR01 2019-08-20	38.06485	38.06485	-121.82671	-121.82671
EDSM 20-04-USSC01 2019-08-20	38.48434	38.48434	-121.58425	-121.58425
EDSM 20-04-SM05 2019-08-20	38.18722	38.18722	-121.97585	-121.97585
EDSM 20-04-RV02 2019-08-20	38.09202	38.09202	-121.72806	-121.72806
EDSM 20-04-SM06 2019-08-20	38.13442	38.13442	-122.05893	-122.05893
EDSM 20-04-LSSC05 2019-08-20	38.44743	38.44743	-121.5953	-121.5953
EDSM 20-04-RV01 2019-08-20	38.1654	38.1654	-121.67858	-121.67858
EDSM 20-04-LSSC04 2019-08-20	38.22332	38.22332	-121.67289	-121.67289
EDSM 20-04-SM04 2019-08-20	38.12228	38.12228	-122.05589	-122.05589
EDSM 20-04-SBM01 2019-08-21	38.06728	38.06728	-122.04175	-122.04175
EDSM 20-04-CS07 2019-08-21	38.28783	38.28783	-121.72193	-121.72193
EDSM 20-04-CS03 2019-08-21	38.28189	38.28189	-121.71339	-121.71339
EDSM 20-04-CS02 2019-08-21	38.27496	38.27496	-121.70649	-121.70649
EDSM 20-04-SBM02 2019-08-21	38.09153	38.09153	-122.06229	-122.06229
EDSM 20-04-CS04 2019-08-21	38.23551	38.23551	-121.67881	-121.67881
EDSM 20-04-SBW03 2019-08-21	38.05077	38.05077	-122.10483	-122.10483
EDSM 20-04-HB01 2019-08-21	38.05188	38.05188	-121.96907	-121.96907
EDSM 20-04-CS01 2019-08-21	38.41578	38.41578	-121.61426	-121.61426
EDSM 20-04-SBW02 2019-08-21	38.05503	38.05503	-122.0614	-122.0614
EDSM 20-04-SBW01 2019-08-21	38.04627	38.04627	-122.09759	-122.09759
EDSM 20-04-CQS01 2019-08-21	38.06107	38.06107	-122.23374	-122.23374
EDSM 20-04-CS06 2019-08-22	38.26247	38.26247	-121.69328	-121.69328
EDSM 20-04-PP01 2019-08-22	38.04243	38.04243	-121.49821	-121.49821
EDSM 20-04-SPE01 2019-08-22	38.03431	38.03431	-122.292	-122.292
EDSM 20-04-CS09 2019-08-22	38.25788	38.25788	-121.69173	-121.69173
EDSM 20-04-SPE04 2019-08-22	38.0259	38.0259	-122.29892	-122.29892
EDSM 20-04-SJT01 2019-08-22	38.08689	38.08689	-121.67835	-121.67835
EDSM 20-04-CS08 2019-08-22	38.31019	38.31019	-121.66737	-121.66737
EDSM 20-04-SPE02 2019-08-22	38.05948	38.05948	-122.32709	-122.32709
EDSM 20-04-SPE03 2019-08-22	38.0572	38.0572	-122.3077	-122.3077
EDSM 20-04-LSJ01 2019-08-22	38.01946	38.01946	-121.78277	-121.78277
EDSM 20-04-CS05 2019-08-22	38.323	38.323	-121.65325	-121.65325
EDSM 20-05-USSC01 2019-08-26	38.53429	38.53429	-121.58452	-121.58452
EDSM 20-05-CQS01 2019-08-26	38.05411	38.05411	-122.18837	-122.18837
EDSM 20-05-USSC02 2019-08-26	38.56367	38.56367	-121.55313	-121.55313
EDSM 20-05-PP01 2019-08-26	38.0902	38.0902	-121.57244	-121.57244
EDSM 20-05-SPE02 2019-08-26	38.0532	38.0532	-122.28567	-122.28567
EDSM 20-05-SJT01 2019-08-26	38.10155	38.10155	-121.61645	-121.61645
EDSM 20-05-SJT02 2019-08-26	38.07398	38.07398	-121.67902	-121.67902
EDSM 20-05-USSC04 2019-08-26	38.55633	38.55633	-121.5739	-121.5739
EDSM 20-05-USSC03 2019-08-26	38.54629	38.54629	-121.58235	-121.58235
EDSM 20-05-SPE03 2019-08-26	38.07062	38.07062	-122.3293	-122.3293
EDSM 20-05-SPE01 2019-08-26	38.02484	38.02484	-122.2969	-122.2969
EDSM 20-05-SBW01 2019-08-27	38.03521	38.03521	-122.1292	-122.1292
EDSM 20-05-LSSC02 2019-08-27	38.21118	38.21118	-121.66433	-121.66433
EDSM 20-05-LSR01 2019-08-27	38.07503	38.07503	-121.75746	-121.75746
EDSM 20-05-SBM02 2019-08-27	38.06016	38.06016	-121.98505	-121.98505
EDSM 20-05-LSSC03 2019-08-27	38.42969	38.42969	-121.6038	-121.6038
EDSM 20-05-RV02 2019-08-27	38.10724	38.10724	-121.71509	-121.71509
EDSM 20-05-HB02 2019-08-27	38.06962	38.06962	-121.96715	-121.96715
EDSM 20-05-RV01 2019-08-27	38.16502	38.16502	-121.67935	-121.67935
EDSM 20-05-CF02 2019-08-27	38.04361	38.04361	-121.85399	-121.85399
EDSM 20-05-LSSC01 2019-08-27	38.2919	38.2919	-121.65697	-121.65697
EDSM 20-05-CS02 2019-08-28	38.23161	38.23161	-121.67591	-121.67591
EDSM 20-05-CS01 2019-08-28	38.26054	38.26054	-121.6687	-121.6687
EDSM 20-05-SM01 2019-08-28	38.18525	38.18525	-121.98409	-121.98409
EDSM 20-05-RV04 2019-08-28	38.08413	38.08413	-121.73708	-121.73708
EDSM 20-05-SM02 2019-08-28	38.14449	38.14449	-122.0603	-122.0603
EDSM 20-05-RV05 2019-08-28	38.09536	38.09536	-121.72953	-121.72953
EDSM 20-05-RV03 2019-08-28	38.17735	38.17735	-121.66716	-121.66716
EDSM 20-05-CS03 2019-08-28	38.2701	38.2701	-121.70187	-121.70187
EDSM 20-05-LSR02 2019-08-28	38.02684	38.02684	-121.81033	-121.81033
EDSM 20-05-SM03 2019-08-28	38.20372	38.20372	-122.04121	-122.04121
EDSM 20-05-CS04 2019-08-29	38.25955	38.25955	-121.75487	-121.75487
EDSM 20-05-CF01 2019-08-29	38.04206	38.04206	-121.83953	-121.83953
EDSM 20-05-SM04 2019-08-29	38.17545	38.17545	-121.95304	-121.95304
EDSM 20-05-CS05 2019-08-29	38.24449	38.24449	-121.68756	-121.68756
EDSM 20-05-CS06 2019-08-29	38.23597	38.23597	-121.67999	-121.67999
EDSM 20-05-SM05 2019-08-29	38.14737	38.14737	-122.05729	-122.05729
EDSM 20-05-HB01 2019-08-29	38.0494	38.0494	-121.97056	-121.97056
EDSM 20-05-SBM01 2019-08-29	38.07358	38.07358	-122.01698	-122.01698
EDSM 20-05-GB01 2019-08-29	38.10851	38.10851	-122.05874	-122.05874
EDSM 20-06-SJT01 2019-09-03	38.08588	38.08588	-121.64621	-121.64621
EDSM 20-06-SM01 2019-09-03	38.10756	38.10756	-121.88906	-121.88906
EDSM 20-06-CS02 2019-09-03	38.25973	38.25973	-121.74145	-121.74145
EDSM 20-06-CS03 2019-09-03	38.24709	38.24709	-121.71041	-121.71041
EDSM 20-06-LSJ02 2019-09-03	38.02645	38.02645	-121.72957	-121.72957
EDSM 20-06-SM02 2019-09-03	38.17465	38.17465	-122.0571	-122.0571
EDSM 20-06-LSJ01 2019-09-03	38.02478	38.02478	-121.81889	-121.81889
EDSM 20-06-CS01 2019-09-03	38.24106	38.24106	-121.68151	-121.68151
EDSM 20-06-GB01 2019-09-03	38.10548	38.10548	-122.05197	-122.05197
EDSM 20-06-CS06 2019-09-04	38.25982	38.25982	-121.76311	-121.76311
EDSM 20-06-GB02 2019-09-04	38.10456	38.10456	-122.03674	-122.03674
EDSM 20-06-SBW02 2019-09-04	38.05724	38.05724	-122.10133	-122.10133
EDSM 20-06-SBW01 2019-09-04	38.08725	38.08725	-122.08403	-122.08403
EDSM 20-06-CS04 2019-09-04	38.28163	38.28163	-121.69297	-121.69297
EDSM 20-06-SM03 2019-09-04	38.17829	38.17829	-122.00698	-122.00698
EDSM 20-06-CS05 2019-09-04	38.25435	38.25435	-121.67138	-121.67138
EDSM 20-06-SBM01 2019-09-04	38.09187	38.09187	-122.02198	-122.02198
EDSM 20-06-GB03 2019-09-04	38.10653	38.10653	-122.05582	-122.05582
EDSM 20-06-RV01 2019-09-05	38.16031	38.16031	-121.67983	-121.67983
EDSM 20-06-HB01 2019-09-05	38.0564	38.0564	-121.96256	-121.96256
