geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
Baystudy 346	38.0555	38.0555	-122.3	-122.3
Baystudy 447	38.0559166666667	38.0559166666667	-122.178333333333	-122.178333333333
Baystudy 750	38.0846666666667	38.0846666666667	-121.75	-121.75
Baystudy 751	38.1055	38.1055	-121.717	-121.717
Baystudy 752	38.1042	38.1042	-121.7125	-121.7125
Baystudy 853	38.0285	38.0285	-121.737	-121.737
Baystudy 760	38.1523333333333	38.1523333333333	-121.684833333333	-121.684833333333
Baystudy 761	38.1678333333333	38.1678333333333	-121.677166666667	-121.677166666667
Baystudy 762	38.175	38.175	-121.657	-121.657
Baystudy 863	38.09145	38.09145	-121.6511	-121.6511
Baystudy 864	38.1011666666667	38.1011666666667	-121.598	-121.598
Baystudy 865	38.0866666666667	38.0866666666667	-121.576333333333	-121.576333333333
STN 815	38.08	38.08	-121.569805555556	-121.569805555556
STN 902	38.0191944444444	38.0191944444444	-121.582194444444	-121.582194444444
STN 906	38.0516944444444	38.0516944444444	-121.509	-121.509
STN 910	38.0018055555556	38.0018055555556	-121.448694444444	-121.448694444444
STN 914	37.9715	37.9715	-121.52	-121.52
STN 915	37.9425	37.9425	-121.5635	-121.5635
STN 704	38.0691666666667	38.0691666666667	-121.775277777778	-121.775277777778
STN 707	38.1135	38.1135	-121.7075	-121.7075
STN 711	38.1788055555556	38.1788055555556	-121.665305555556	-121.665305555556
STN 809	38.0525	38.0525	-121.689194444444	-121.689194444444
STN 812	38.0903055555556	38.0903055555556	-121.6405	-121.6405
STN 418	38.0648055555556	38.0648055555556	-122.097805555556	-122.097805555556
STN 513	38.0583055555556	38.0583055555556	-121.868	-121.868
STN 602	38.114	38.114	-122.046194444444	-122.046194444444
STN 606	38.1694722222222	38.1694722222222	-122.025666666667	-122.025666666667
STN 609	38.1671944444444	38.1671944444444	-121.938	-121.938
STN 610	38.1188055555556	38.1188055555556	-121.889194444444	-121.889194444444
STN 405	38.0396944444444	38.0396944444444	-122.1505	-122.1505
STN 411	38.0513055555556	38.0513055555556	-122.083305555556	-122.083305555556
STN 504	38.0545	38.0545	-121.9895	-121.9895
STN 519	38.0723055555556	38.0723055555556	-121.959694444444	-121.959694444444
STN 520	38.0328055555556	38.0328055555556	-121.869305555556	-121.869305555556
STN 804	38.0181944444444	38.0181944444444	-121.797	-121.797
STN 340	38.0975	38.0975	-122.262194444444	-122.262194444444
STN 918	37.8593055555556	37.8593055555556	-121.568805555556	-121.568805555556
STN 912	37.966	37.966	-121.367305555556	-121.367305555556
STN 919	38.1048055555556	38.1048055555556	-121.492	-121.492
STN 706	38.0851944444444	38.0851944444444	-121.750694444444	-121.750694444444
STN 501	38.0725	38.0725	-122.025194444444	-122.025194444444
STN 508	38.0455	38.0455	-121.918805555556	-121.918805555556
STN 801	38.0436944444444	38.0436944444444	-121.844	-121.844
STN 323	38.0483055555556	38.0483055555556	-122.282805555556	-122.282805555556
STN 328	38.0603055555556	38.0603055555556	-122.35	-122.35
STN 329	38.0636111111111	38.0636111111111	-122.304	-122.304
STN 713	38.2063333333333	38.2063333333333	-121.660083333333	-121.660083333333
